feedback_id,feedback,sentiment
300,Loved the user interface.,positive
301,Will not recommend to others.,negative
302,The product is excellent.,positive
303,The packaging was damaged.,negative
304,"It was okay, nothing great.",positive
305,Worst experience I've ever had.,neutral
306,The product is excellent.,neutral
307,,
308,,
309,The packaging was damaged.,negative
310,"It was okay, nothing great.",positive
311,The packaging was damaged.,neutral
312,Average experience overall.,negative
313,Satisfied with the service.,negative
314,Fast delivery and great support.,positive
315,Poor quality materials used.,positive
316,Terrible customer service.,negative
317,Good value for money.,neutral
318,Terrible customer service.,negative
319,Loved the user interface.,negative
320,Poor quality materials used.,negative
321,Quick resolution of my issue.,neutral
322,Loved the user interface.,neutral
323,Good value for money.,neutral
324,Unhelpful and rude staff.,neutral
325,,
326,Unhelpful and rude staff.,neutral
327,The packaging was damaged.,negative
328,Exceeded my expectations!,positive
329,Unhelpful and rude staff.,positive
330,The product is excellent.,neutral
331,Worst experience I've ever had.,negative
332,Unhelpful and rude staff.,positive
333,Terrible customer service.,positive
334,Terrible customer service.,neutral
335,Terrible customer service.,negative
336,Unhelpful and rude staff.,negative
337,The packaging was damaged.,positive
338,Fast delivery and great support.,neutral
339,Worst experience I've ever had.,positive
340,Will not recommend to others.,negative
341,Average experience overall.,negative
342,Poor quality materials used.,negative
343,Loved the user interface.,neutral
344,Worst experience I've ever had.,negative
345,Average experience overall.,negative
346,Will not recommend to others.,negative
347,Fast delivery and great support.,neutral
348,Fast delivery and great support.,neutral
349,Quick resolution of my issue.,negative
350,Terrible customer service.,negative
351,Good value for money.,positive
352,Worst experience I've ever had.,negative
353,,
354,,
355,Will not recommend to others.,neutral
356,Terrible customer service.,negative
357,Good value for money.,neutral
358,Fast delivery and great support.,neutral
359,"It was okay, nothing great.",positive
360,Exceeded my expectations!,positive
361,Good value for money.,neutral
362,,
363,Will not recommend to others.,negative
364,Fast delivery and great support.,negative
365,Average experience overall.,neutral
366,The product is excellent.,negative
367,,
368,Poor quality materials used.,positive
369,,
370,Quick resolution of my issue.,negative
371,Exceeded my expectations!,negative
372,Good value for money.,neutral
373,Unhelpful and rude staff.,neutral
374,Exceeded my expectations!,positive
375,,
376,Quick resolution of my issue.,negative
377,Quick resolution of my issue.,negative
378,Worst experience I've ever had.,negative
379,Worst experience I've ever had.,positive
380,Good value for money.,negative
381,Worst experience I've ever had.,negative
382,Quick resolution of my issue.,neutral
383,,
384,,
385,Poor quality materials used.,neutral
386,Unhelpful and rude staff.,positive
387,Exceeded my expectations!,positive
388,Quick resolution of my issue.,neutral
389,Satisfied with the service.,neutral
390,The packaging was damaged.,negative
391,Good value for money.,neutral
392,Worst experience I've ever had.,neutral
393,Average experience overall.,positive
394,,
395,Satisfied with the service.,neutral
396,Average experience overall.,negative
397,"It was okay, nothing great.",positive
398,Fast delivery and great support.,positive
399,Exceeded my expectations!,neutral
400,Will not recommend to others.,negative
401,Quick resolution of my issue.,positive
402,Fast delivery and great support.,positive
403,The packaging was damaged.,neutral
404,Average experience overall.,positive
405,The packaging was damaged.,negative
406,Good value for money.,negative
407,The product is excellent.,negative
408,Satisfied with the service.,positive
409,The packaging was damaged.,positive
410,Poor quality materials used.,negative
411,Loved the user interface.,neutral
412,,
413,Will not recommend to others.,positive
414,Quick resolution of my issue.,negative
415,Terrible customer service.,negative
416,The packaging was damaged.,positive
417,Satisfied with the service.,negative
418,Will not recommend to others.,positive
419,Unhelpful and rude staff.,positive
420,Will not recommend to others.,negative
421,Terrible customer service.,negative
422,Average experience overall.,negative
423,"It was okay, nothing great.",neutral
424,Quick resolution of my issue.,neutral
425,Loved the user interface.,neutral
426,"It was okay, nothing great.",neutral
427,Average experience overall.,positive
428,Exceeded my expectations!,neutral
429,Terrible customer service.,positive
430,,
431,Satisfied with the service.,negative
432,Good value for money.,neutral
433,Poor quality materials used.,neutral
434,Poor quality materials used.,neutral
435,Average experience overall.,positive
436,Fast delivery and great support.,negative
437,Worst experience I've ever had.,positive
438,The product is excellent.,positive
439,The packaging was damaged.,neutral
440,The packaging was damaged.,positive
441,Exceeded my expectations!,positive
442,Average experience overall.,negative
443,Terrible customer service.,neutral
444,Worst experience I've ever had.,negative
445,Poor quality materials used.,neutral
446,Terrible customer service.,negative
447,Quick resolution of my issue.,neutral
448,Will not recommend to others.,negative
449,"It was okay, nothing great.",positive
450,Unhelpful and rude staff.,neutral
451,,
452,Terrible customer service.,positive
453,Average experience overall.,negative
454,Will not recommend to others.,negative
455,Good value for money.,positive
456,Will not recommend to others.,negative
457,Satisfied with the service.,negative
458,Average experience overall.,negative
459,Satisfied with the service.,positive
460,Quick resolution of my issue.,negative
461,"It was okay, nothing great.",negative
462,Exceeded my expectations!,positive
463,,
464,Exceeded my expectations!,neutral
465,,
466,Terrible customer service.,neutral
467,Loved the user interface.,neutral
468,Loved the user interface.,neutral
469,"It was okay, nothing great.",neutral
470,Fast delivery and great support.,positive
471,Quick resolution of my issue.,positive
472,Good value for money.,negative
473,The packaging was damaged.,positive
474,Quick resolution of my issue.,neutral
475,Will not recommend to others.,neutral
476,Fast delivery and great support.,negative
477,Poor quality materials used.,positive
478,Satisfied with the service.,positive
479,,
480,Worst experience I've ever had.,negative
481,Unhelpful and rude staff.,positive
482,Loved the user interface.,negative
483,Terrible customer service.,positive
484,The packaging was damaged.,positive
485,The packaging was damaged.,neutral
486,Poor quality materials used.,positive
487,The product is excellent.,neutral
488,Loved the user interface.,neutral
489,Terrible customer service.,positive
490,Exceeded my expectations!,neutral
491,Satisfied with the service.,negative
492,Terrible customer service.,negative
493,Worst experience I've ever had.,positive
494,Average experience overall.,positive
495,,
496,The packaging was damaged.,neutral
497,Will not recommend to others.,neutral
498,Worst experience I've ever had.,neutral
499,Unhelpful and rude staff.,negative
500,Exceeded my expectations!,positive
501,The packaging was damaged.,negative
502,Average experience overall.,negative
503,Exceeded my expectations!,neutral
504,Loved the user interface.,positive
505,Satisfied with the service.,positive
506,Good value for money.,negative
507,Unhelpful and rude staff.,neutral
508,,
509,The packaging was damaged.,neutral
510,Worst experience I've ever had.,neutral
511,Satisfied with the service.,positive
512,Quick resolution of my issue.,neutral
513,The product is excellent.,negative
514,Fast delivery and great support.,neutral
515,Poor quality materials used.,negative
516,"It was okay, nothing great.",positive
517,The packaging was damaged.,negative
518,Will not recommend to others.,neutral
519,Worst experience I've ever had.,positive
520,Will not recommend to others.,negative
521,Poor quality materials used.,neutral
522,Unhelpful and rude staff.,positive
523,The product is excellent.,negative
524,Good value for money.,positive
525,The packaging was damaged.,negative
526,Average experience overall.,negative
527,"It was okay, nothing great.",positive
528,Poor quality materials used.,neutral
529,Worst experience I've ever had.,neutral
530,,
531,,
532,Exceeded my expectations!,negative
533,Average experience overall.,positive
534,Worst experience I've ever had.,positive
535,Good value for money.,positive
536,Average experience overall.,positive
537,Satisfied with the service.,negative
538,Good value for money.,negative
539,Unhelpful and rude staff.,negative
540,The packaging was damaged.,negative
541,Worst experience I've ever had.,positive
542,The product is excellent.,negative
543,Will not recommend to others.,positive
544,Loved the user interface.,positive
545,,
546,Unhelpful and rude staff.,negative
547,The packaging was damaged.,negative
548,Satisfied with the service.,negative
549,Loved the user interface.,positive
550,Satisfied with the service.,neutral
551,Unhelpful and rude staff.,neutral
552,Average experience overall.,neutral
553,Quick resolution of my issue.,negative
554,Poor quality materials used.,neutral
555,,
556,Fast delivery and great support.,positive
557,The packaging was damaged.,positive
558,"It was okay, nothing great.",neutral
559,Worst experience I've ever had.,positive
560,Poor quality materials used.,positive
561,Loved the user interface.,neutral
562,"It was okay, nothing great.",neutral
563,Quick resolution of my issue.,negative
564,Satisfied with the service.,negative
565,Worst experience I've ever had.,neutral
566,Good value for money.,neutral
567,The packaging was damaged.,neutral
568,Good value for money.,neutral
569,Exceeded my expectations!,positive
570,Worst experience I've ever had.,neutral
571,"It was okay, nothing great.",positive
572,Exceeded my expectations!,negative
573,,
574,Fast delivery and great support.,neutral
575,The product is excellent.,negative
576,Poor quality materials used.,positive
577,Good value for money.,positive
578,Worst experience I've ever had.,positive
579,The product is excellent.,positive
580,Quick resolution of my issue.,negative
581,Unhelpful and rude staff.,neutral
582,Loved the user interface.,positive
583,Will not recommend to others.,negative
584,,
585,,
586,,
587,Exceeded my expectations!,positive
588,Exceeded my expectations!,neutral
589,Poor quality materials used.,neutral
590,Poor quality materials used.,positive
591,Exceeded my expectations!,negative
592,Worst experience I've ever had.,negative
593,"It was okay, nothing great.",negative
594,Quick resolution of my issue.,neutral
595,Quick resolution of my issue.,neutral
596,"It was okay, nothing great.",positive
597,The packaging was damaged.,neutral
598,Will not recommend to others.,neutral
599,Satisfied with the service.,positive
600,Terrible customer service.,positive
601,Unhelpful and rude staff.,neutral
602,The packaging was damaged.,neutral
603,,
604,Satisfied with the service.,positive
605,Will not recommend to others.,negative
606,Quick resolution of my issue.,positive
607,Satisfied with the service.,positive
608,"It was okay, nothing great.",neutral
609,Will not recommend to others.,neutral
610,Exceeded my expectations!,neutral
611,Will not recommend to others.,positive
612,,
613,Worst experience I've ever had.,negative
614,Satisfied with the service.,neutral
615,Terrible customer service.,neutral
616,Loved the user interface.,neutral
617,"It was okay, nothing great.",neutral
618,,
619,Satisfied with the service.,neutral
620,Fast delivery and great support.,positive
621,,
622,Exceeded my expectations!,negative
623,Quick resolution of my issue.,negative
624,Exceeded my expectations!,neutral
625,"It was okay, nothing great.",positive
626,Unhelpful and rude staff.,positive
627,Will not recommend to others.,positive
628,The product is excellent.,negative
629,,
630,Fast delivery and great support.,negative
631,Terrible customer service.,neutral
632,Will not recommend to others.,neutral
633,Fast delivery and great support.,positive
634,Average experience overall.,neutral
635,Quick resolution of my issue.,negative
636,Average experience overall.,positive
637,Will not recommend to others.,neutral
638,Loved the user interface.,positive
639,Average experience overall.,neutral
640,Good value for money.,positive
641,Will not recommend to others.,neutral
642,Good value for money.,neutral
643,The product is excellent.,neutral
644,Unhelpful and rude staff.,neutral
645,Good value for money.,negative
646,Quick resolution of my issue.,positive
647,Will not recommend to others.,negative
648,Good value for money.,negative
649,The packaging was damaged.,neutral
650,"It was okay, nothing great.",neutral
651,Average experience overall.,positive
652,,
653,The packaging was damaged.,negative
654,Fast delivery and great support.,positive
655,,
656,"It was okay, nothing great.",neutral
657,Average experience overall.,neutral
658,Loved the user interface.,neutral
659,Exceeded my expectations!,neutral
660,The product is excellent.,neutral
661,Terrible customer service.,positive
662,Poor quality materials used.,neutral
663,Average experience overall.,negative
664,Average experience overall.,positive
665,Loved the user interface.,positive
666,Average experience overall.,neutral
667,The packaging was damaged.,neutral
668,Will not recommend to others.,positive
669,Loved the user interface.,positive
670,Fast delivery and great support.,neutral
671,,
672,Average experience overall.,neutral
673,Unhelpful and rude staff.,negative
674,Fast delivery and great support.,neutral
675,,
676,Quick resolution of my issue.,positive
677,The product is excellent.,negative
678,Unhelpful and rude staff.,neutral
679,,
680,,
681,The product is excellent.,neutral
682,Satisfied with the service.,negative
683,Loved the user interface.,neutral
684,Satisfied with the service.,positive
685,Exceeded my expectations!,positive
686,Loved the user interface.,positive
687,Exceeded my expectations!,neutral
688,Satisfied with the service.,negative
689,Terrible customer service.,positive
690,Loved the user interface.,negative
691,Good value for money.,negative
692,Terrible customer service.,positive
693,"It was okay, nothing great.",positive
694,,
695,Loved the user interface.,negative
696,Loved the user interface.,neutral
697,Average experience overall.,negative
698,Good value for money.,positive
699,Will not recommend to others.,positive
700,Loved the user interface.,positive
701,Will not recommend to others.,neutral
702,Loved the user interface.,negative
703,Unhelpful and rude staff.,positive
704,Good value for money.,neutral
705,Average experience overall.,negative
706,"It was okay, nothing great.",neutral
707,Satisfied with the service.,negative
708,The packaging was damaged.,negative
709,Terrible customer service.,neutral
710,"It was okay, nothing great.",neutral
711,Unhelpful and rude staff.,positive
712,Exceeded my expectations!,negative
713,,
714,The product is excellent.,neutral
715,Unhelpful and rude staff.,neutral
716,Good value for money.,negative
717,Good value for money.,neutral
718,Fast delivery and great support.,negative
719,Will not recommend to others.,neutral
720,Fast delivery and great support.,negative
721,Fast delivery and great support.,negative
722,Will not recommend to others.,neutral
723,Worst experience I've ever had.,positive
724,Poor quality materials used.,negative
725,Worst experience I've ever had.,positive
726,"It was okay, nothing great.",neutral
727,Will not recommend to others.,negative
728,Quick resolution of my issue.,negative
729,Poor quality materials used.,negative
730,Will not recommend to others.,positive
731,Quick resolution of my issue.,negative
732,Terrible customer service.,neutral
733,Good value for money.,negative
734,Average experience overall.,neutral
735,Good value for money.,negative
736,Satisfied with the service.,neutral
737,Good value for money.,positive
738,Fast delivery and great support.,negative
739,Good value for money.,positive
740,Exceeded my expectations!,negative
741,The product is excellent.,neutral
742,Satisfied with the service.,neutral
743,Will not recommend to others.,negative
744,The product is excellent.,negative
745,,
746,Terrible customer service.,neutral
747,,
748,Exceeded my expectations!,negative
749,Satisfied with the service.,negative
750,Poor quality materials used.,neutral
751,The packaging was damaged.,positive
752,The product is excellent.,neutral
753,The product is excellent.,positive
754,Poor quality materials used.,positive
755,Good value for money.,positive
756,,
757,The packaging was damaged.,neutral
758,The packaging was damaged.,negative
759,Unhelpful and rude staff.,neutral
760,,
761,"It was okay, nothing great.",positive
762,Fast delivery and great support.,negative
763,Loved the user interface.,neutral
764,Quick resolution of my issue.,negative
765,Terrible customer service.,positive
766,Poor quality materials used.,neutral
767,Loved the user interface.,positive
768,Good value for money.,neutral
769,Worst experience I've ever had.,positive
770,The packaging was damaged.,neutral
771,Fast delivery and great support.,neutral
772,,
773,Will not recommend to others.,negative
774,Poor quality materials used.,positive
775,Fast delivery and great support.,neutral
776,Will not recommend to others.,positive
777,Satisfied with the service.,negative
778,Loved the user interface.,negative
779,Satisfied with the service.,neutral
780,Loved the user interface.,positive
781,Average experience overall.,neutral
782,Quick resolution of my issue.,neutral
783,,
784,Fast delivery and great support.,negative
785,"It was okay, nothing great.",negative
786,,
787,The product is excellent.,negative
788,,
789,Will not recommend to others.,negative
790,Unhelpful and rude staff.,neutral
791,Worst experience I've ever had.,neutral
792,Terrible customer service.,negative
793,,
794,Poor quality materials used.,positive
795,The product is excellent.,positive
796,Unhelpful and rude staff.,positive
797,Average experience overall.,positive
798,Exceeded my expectations!,negative
799,Loved the user interface.,neutral
800,Good value for money.,negative
801,"It was okay, nothing great.",positive
802,Will not recommend to others.,positive
803,,
804,Worst experience I've ever had.,positive
805,Worst experience I've ever had.,neutral
806,Good value for money.,negative
807,Good value for money.,positive
808,,
809,Good value for money.,negative
810,The packaging was damaged.,neutral
811,Poor quality materials used.,negative
812,The product is excellent.,negative
813,The packaging was damaged.,negative
814,"It was okay, nothing great.",positive
815,Unhelpful and rude staff.,positive
816,Satisfied with the service.,positive
817,Quick resolution of my issue.,positive
818,Exceeded my expectations!,positive
819,Loved the user interface.,negative
820,Good value for money.,positive
821,The packaging was damaged.,neutral
822,Average experience overall.,negative
823,The product is excellent.,neutral
824,Terrible customer service.,positive
825,,
826,Satisfied with the service.,negative
827,"It was okay, nothing great.",positive
828,The packaging was damaged.,negative
829,The product is excellent.,neutral
830,"It was okay, nothing great.",negative
831,Will not recommend to others.,positive
832,"It was okay, nothing great.",positive
833,Will not recommend to others.,neutral
834,The product is excellent.,negative
835,,
836,Exceeded my expectations!,negative
837,Worst experience I've ever had.,negative
838,Quick resolution of my issue.,negative
839,"It was okay, nothing great.",neutral
840,Loved the user interface.,negative
841,Exceeded my expectations!,neutral
842,Good value for money.,neutral
843,The packaging was damaged.,neutral
844,Loved the user interface.,neutral
845,Satisfied with the service.,neutral
846,Poor quality materials used.,neutral
847,Loved the user interface.,neutral
848,The packaging was damaged.,positive
849,Good value for money.,positive
850,Exceeded my expectations!,negative
851,Loved the user interface.,neutral
852,Good value for money.,neutral
853,"It was okay, nothing great.",negative
854,Worst experience I've ever had.,positive
855,Terrible customer service.,negative
856,,
857,Fast delivery and great support.,positive
858,,
859,Fast delivery and great support.,neutral
860,Poor quality materials used.,neutral
861,Quick resolution of my issue.,positive
862,The packaging was damaged.,neutral
863,,
864,Poor quality materials used.,positive
865,Worst experience I've ever had.,neutral
866,The product is excellent.,positive
867,The packaging was damaged.,negative
868,Unhelpful and rude staff.,negative
869,Good value for money.,negative
870,Exceeded my expectations!,neutral
871,Exceeded my expectations!,neutral
872,Average experience overall.,positive
873,Unhelpful and rude staff.,negative
874,Satisfied with the service.,positive
875,,
876,Will not recommend to others.,positive
877,Exceeded my expectations!,negative
878,Exceeded my expectations!,negative
879,Average experience overall.,negative
880,,
881,Average experience overall.,neutral
882,Terrible customer service.,positive
883,Exceeded my expectations!,negative
884,Unhelpful and rude staff.,negative
885,Loved the user interface.,positive
886,Average experience overall.,neutral
887,,
888,Loved the user interface.,positive
889,The packaging was damaged.,neutral
890,,
891,The product is excellent.,negative
892,Loved the user interface.,negative
893,The packaging was damaged.,negative
894,Loved the user interface.,neutral
895,Average experience overall.,negative
896,Will not recommend to others.,negative
897,Loved the user interface.,negative
898,"It was okay, nothing great.",positive
899,Average experience overall.,negative
900,The product is excellent.,positive
901,Average experience overall.,negative
902,The packaging was damaged.,positive
903,Worst experience I've ever had.,negative
904,"It was okay, nothing great.",neutral
905,Will not recommend to others.,positive
906,,
907,Will not recommend to others.,positive
908,,
909,Will not recommend to others.,neutral
910,,
911,Fast delivery and great support.,negative
912,Average experience overall.,neutral
913,Exceeded my expectations!,neutral
914,Unhelpful and rude staff.,negative
915,The packaging was damaged.,positive
916,Average experience overall.,negative
917,,
918,Fast delivery and great support.,negative
919,Unhelpful and rude staff.,neutral
920,Unhelpful and rude staff.,positive
921,Unhelpful and rude staff.,negative
922,Satisfied with the service.,negative
923,"It was okay, nothing great.",neutral
924,The packaging was damaged.,positive
925,"It was okay, nothing great.",neutral
926,Terrible customer service.,positive
927,Worst experience I've ever had.,neutral
928,Unhelpful and rude staff.,neutral
929,Quick resolution of my issue.,neutral
930,"It was okay, nothing great.",negative
931,Good value for money.,positive
932,The packaging was damaged.,neutral
933,"It was okay, nothing great.",neutral
934,Exceeded my expectations!,negative
935,Average experience overall.,positive
936,Fast delivery and great support.,neutral
937,Poor quality materials used.,positive
938,Worst experience I've ever had.,negative
939,,
940,Satisfied with the service.,negative
941,Fast delivery and great support.,neutral
942,Satisfied with the service.,negative
943,Average experience overall.,neutral
944,Terrible customer service.,neutral
945,,
946,The product is excellent.,negative
947,Quick resolution of my issue.,positive
948,Poor quality materials used.,neutral
949,Terrible customer service.,neutral
950,,
951,The packaging was damaged.,neutral
952,"It was okay, nothing great.",positive
953,The product is excellent.,negative
954,Unhelpful and rude staff.,negative
955,The product is excellent.,negative
956,Terrible customer service.,neutral
957,Terrible customer service.,neutral
958,Quick resolution of my issue.,positive
959,Good value for money.,neutral
960,Will not recommend to others.,neutral
961,"It was okay, nothing great.",neutral
962,Worst experience I've ever had.,positive
963,Terrible customer service.,neutral
964,Satisfied with the service.,positive
965,,
966,"It was okay, nothing great.",neutral
967,"It was okay, nothing great.",positive
968,Terrible customer service.,neutral
969,Will not recommend to others.,negative
970,Fast delivery and great support.,negative
971,Quick resolution of my issue.,positive
972,Fast delivery and great support.,neutral
973,The packaging was damaged.,positive
974,,
975,Satisfied with the service.,neutral
976,Average experience overall.,neutral
977,Loved the user interface.,neutral
